Age;Gender;Job;Area;CitySize;FamilySize;Income;Wealth;Debt;FinEdu;ESG;Digital;BankFriend;LifeStyle;Luxury;Saving;Investments
24;1;1;2;2;4;0,668045651;0,70278621;0,262070421;0,741852501;0,483684011;0,69862464;0,618259418;0,607876821;0,897369439;0,283221633;1
47;1;2;2;3;1;0,85845311;0,915043239;0,730430319;0,859422993;0,537166683;0,959024698;0,785936373;0,862271234;0,913728691;0,82158962;3
38;0;2;1;2;2;0,926817751;0,898315551;0,441272316;0,485953442;0,649433563;0,750265401;0,699724935;0,755403873;0,765198898;0,503789815;3
67;0;2;1;2;3;0,538796996;0,423179751;0,600401086;0,493143717;0,533829201;0,590165186;0,675353386;0,334432236;0,517208773;0,691239798;2
33;0;2;1;3;1;0,806658514;0,73140384;0,83144946;0,856286404;0,784939867;0,710025596;0,75879306;0,908878184;0,611610268;0,615915655;2
81;0;2;1;3;4;0,461679713;0,380242891;0,490726984;0,212120404;0,422747813;0,346737836;0,364808265;0,307309805;0,500848917;0,473036152;3
20;1;1;1;3;3;0,654672074;0,539156166;0,086449239;0,176028307;0,220581586;0,682363135;0,542119167;0,854400522;0,736486825;0,427274857;1
90;1;3;1;1;3;0,467880142;0,390456404;0,51514634;0,565612379;0,431132183;0,480667809;0,620122061;0,226242413;0,139617605;0,749447027;2
41;1;3;1;2;1;0,387016235;0,396110536;0,478331887;0,455602018;0,571739897;0,456114269;0,281756199;0,297445716;0,34294816;0,309756806;2
56;0;2;1;3;2;0,745981299;0,942403472;0,611391258;0,613725294;0,636862428;0,797150265;0,849669484;0,837387589;0,816057088;0,552441054;2
84;0;1;1;2;3;0,660763688;0,568864941;0,26460008;0,637035511;0,700715643;0,250767732;0,474535796;0,18389493;0,302430629;0,415849117;3
86;1;2;3;2;3;0,297649863;0,442055014;0,658694038;0,293308496;0,602556727;0,121479583;0,699541014;0,174258029;0,349994275;0,300376171;2
70;1;2;1;3;2;0,430165086;0,314557357;0,591474359;0,494019655;0,488203539;0,375736001;0,625707496;0,344284179;0,228890209;0,813935208;1
46;1;2;1;2;1;0,492466835;0,222140318;0,605767645;0,42544446;0,199203365;0,25815994;0,568485175;0,155173958;0,416262123;0,47026328;1
48;0;2;1;1;4;0,589416834;0,613778878;0,331510879;0,54601253;0,563884884;0,412240361;0,706999616;0,297594512;0,527176987;0,255344298;3
71;1;5;1;1;3;0,904616411;0,890678873;0,14821977;0,301015829;0,761472556;0,071057496;0,942390193;0,109389088;0,508185382;0,526992194;3
84;0;2;1;1;3;0,324187302;0,635691977;0,588149928;0,309276078;0,666199312;0,528829391;0,62012291;0,275516089;0,371046403;0,688366653;1
93;1;2;1;3;2;0,70972622;0,644786229;0,505746528;0,468309002;0,486634966;0,450004887;0,741105018;0,51529676;0,069389013;0,583856458;1
89;1;2;1;1;4;0,439562519;0,565258148;0,373398267;0,49002686;0,755133273;0,626048557;0,575439392;0,443490679;0,560007948;0,55757038;3
76;1;1;2;2;2;0,170715021;0,322017103;0,027248053;0,198929855;0,605085198;0,275688004;0,695170518;0,205316592;0,295674961;0,217303071;2
43;0;2;1;3;2;0,909592745;0,875026366;0,42652573;0,640652293;0,661700529;0,849258383;0,869197094;0,865333269;0,795083937;0,682643538;2
48;0;2;1;3;2;0,608997011;0,820749572;0,868702153;0,773911655;0,57872737;0,778967663;0,697551181;0,505494977;0,720211308;0,521931612;3
66;1;1;1;1;1;0,78016518;0,598066108;0,7698264;0,670333202;0,482045536;0,323552141;0,523095305;0,388102256;0,08652432;0,628470283;3
75;0;2;2;2;2;0,905213269;0,922491861;0,519354183;0,657601762;0,704482794;0,685831541;0,718587034;0,924088689;0,877959214;0,569276947;3
47;1;2;2;2;6;0,665135932;0,810796348;0,350145861;0,488367804;0,749006582;0,573246987;0,774013403;0,679457969;0,65936042;0,859473801;1
89;1;2;3;1;2;0,540324266;0,654390152;0,344762228;0,596183255;0,616491104;0,554984434;0,573299389;0,501358995;0,290245423;0,487052336;3
51;0;2;1;2;1;0,329711553;0,723900541;0,550586877;0,458905633;0,336703163;0,485600415;0,487266626;0,750339798;0,33364854;0,658053784;1
55;0;2;1;2;5;0,305777606;0,624935686;0,487179035;0,556725827;0,410066423;0,347397252;0,596684874;0,6293425;0,577590921;0,350503224;1
44;1;2;1;2;1;0,80289652;0,574438689;0,541636303;0,717710854;0,760959189;0,936414737;0,39041586;0,630204987;0,758947705;0,275784538;2
78;1;5;1;2;1;0,808715447;0,755268375;0,253182991;0,422790909;0,701309782;0,119560272;0,84160666;0,390859221;0,532152626;0,485681237;2
