ID,Age,Gender,Job,Area,CitySize,FamilySize,Income,Wealth,Debt,FinEdu,ESG,Digital,BankFriend,LifeStyle,Luxury,Saving,Investments
13,70,1,2,1,3,2,0.430165086176151,0.314557357345363,0.59147435904508,0.494019654717869,0.488203539129984,0.375736000579537,0.625707495544146,0.34428417864699,0.228890209252127,0.813935208465645,1
17,84,0,2,1,1,3,0.324187302499013,0.635691977386973,0.588149927934387,0.309276077731204,0.666199312087593,0.528829390941051,0.620122910264017,0.275516088805807,0.371046402943609,0.688366653058444,1
18,93,1,2,1,3,2,0.709726219757421,0.644786229298302,0.505746527944958,0.46830900182981,0.486634966299341,0.450004886816542,0.74110501811495,0.515296759534833,0.0693890126895185,0.583856457530718,1
39,83,1,4,1,1,4,0.323127432241427,0.283860468814689,0.118735955953201,0.217000506758532,0.594119813572674,0.233639563939159,0.314605938493152,0.17959850618718,0.0518433568928685,0.159635241976609,1
42,92,0,5,1,1,2,0.400992390363626,0.330156619719225,0.151587087370891,0.268242217789095,0.565700425914539,0.315296253396755,0.469849638867781,0.144832600198357,0.142589200605703,0.287190709630052,1
49,80,0,2,3,2,4,0.398449926716074,0.269908804978811,0.811865941676006,0.483252196120798,0.518521553434228,0.585737590996342,0.58921802594153,0.718201048298701,0.38147528929069,0.533171420009424,1
50,72,0,5,1,1,4,0.101731929834155,0.175075936028222,0.0709067589569877,0.299694950213077,0.466139020419818,0.0924521154145116,0.692456026738067,0.386092110687843,0.182290991400457,0.484764513679749,1
53,95,0,5,2,2,4,0.328306277238447,0.387583508628713,0.205458982978313,0.332127892637583,0.341490803325425,0.223535476249313,0.552058053220777,0.361325828498969,0.222009184117082,0.0708349538985718,1
56,80,0,5,2,2,1,0.446864893525342,0.611236515446526,0.356705401859061,0.497225964018761,0.796551259448954,0.0859617050061837,0.51148554031466,0.176575387840456,0.494705644203708,0.562937058458306,1
66,93,0,1,1,2,1,0.253762137867594,0.220337187700502,0.058085751988069,0.438397473800559,0.665201699476349,0.358401197784154,0.672166903746669,0.250975317464087,0.1513904795595,0.242474542242588,1
79,94,1,5,3,2,3,0.519608171460576,0.586674050104058,0.574021673556978,0.523932860989941,0.704811039569708,0.237543327101176,0.757984541865248,0.230967990341987,0.617170893040096,0.386316690913809,1
80,83,0,5,3,1,1,0.575093964269553,0.440329564168134,0.0950872681236796,0.281425199379802,0.516315967581459,0.331743757452951,0.77930134565459,0.38716711543188,0.28997044716466,0.159097591771053,1
81,92,0,2,1,1,2,0.636502705103184,0.320510257470757,0.58187647800742,0.437317837677452,0.604736373475665,0.427532226188913,0.583163327634004,0.386415412765323,0.163958394485212,0.674851251082359,1
94,75,0,2,2,2,2,0.725969557469969,0.961059342560537,0.815914770548984,0.401436579022801,0.564249847759486,0.690790803017376,0.806906463250739,0.586865765404802,0.187854511479488,0.5831570667899,1
106,61,1,2,3,2,2,0.546902869021614,0.69635641878462,0.691610425796247,0.422149429645894,0.647595231223462,0.620608530350463,0.592122740219813,0.421677401873717,0.3976851218085,0.611671654979451,1
120,62,1,1,1,2,3,0.784900833520743,0.513090889875311,0.338829528818944,0.241137012424048,0.20488116088752,0.665824029097087,0.55679764172104,0.756281843955484,0.550036370794101,0.228843148132502,1
141,62,1,2,1,3,4,0.461564755427662,0.443848558423455,0.520586772917636,0.54039122891145,0.577544861095806,0.623743391330796,0.806910217123556,0.68180880279917,0.527753917470911,0.503965599469564,1
143,66,1,2,2,1,5,0.258840952048521,0.323393922365547,0.333525796761385,0.376211023569417,0.325642084091032,0.587797162833285,0.371219033820358,0.252763912921817,0.26830873260201,0.324784745594991,1
148,91,1,5,1,2,1,0.200565672461472,0.386112525004928,0.0496161429595592,0.472361676654595,0.742142082846631,0.27379743143441,0.667455598801254,0.10516025999577,0.357859895605824,0.263437040490257,1
156,84,0,5,1,1,2,0.939833798972398,0.255636644289846,0.630958905728921,0.742008152705841,0.605572978608995,0.277881726081794,0.583262351724578,0.452182032216463,0.565042733286342,0.639101063938964,1
165,77,0,2,1,2,2,0.504808241412572,0.605737943611168,0.334402247916486,0.387037294359765,0.4800650454828,0.739467640392246,0.630358532814492,0.421187674368297,0.266327691092854,0.798153890790146,1
166,66,1,2,1,2,3,0.376989635216332,0.537487645757873,0.626003552135507,0.495450877500127,0.362645320238722,0.574107848550842,0.760217306430102,0.183346434021523,0.0983452974896066,0.68542364685285,1
167,63,0,2,1,1,1,0.337241517099778,0.42916098370572,0.169524426672764,0.676032221868305,0.723794459232879,0.290849131617293,0.579260348544674,0.0986167919315176,0.471732116441901,0.675125575701347,1
168,84,1,2,3,2,5,0.806765383904443,0.240338339915594,0.641147467944658,0.391980327670398,0.652920826659496,0.488956453713706,0.640924547392707,0.212636774482549,0.668065120558192,0.593408999409759,1
172,93,0,2,1,1,1,0.561540276416211,0.29113452439145,0.541505130096727,0.416599702052004,0.467399257366275,0.593548466241794,0.755161561627013,0.224392650335011,0.335088872229799,0.778361643259814,1
195,60,0,2,3,2,6,0.546693910391028,0.210199862929458,0.39638247863779,0.428855449615619,0.305119970730846,0.26210846498061,0.610896003947482,0.2737391962493,0.250810642911454,0.455182603348796,1
197,83,1,2,1,3,3,0.541206820961119,0.607334718693051,0.601945476140623,0.28600760890767,0.514981465354105,0.563223727847208,0.675567748545121,0.166307838779882,0.432809272600151,0.788346728926554,1
198,90,0,2,2,1,3,0.512439527401164,0.602935355903168,0.318563476615377,0.441975913199321,0.522425533141556,0.684866116588748,0.700412810396908,0.240688681505901,0.302161443784817,0.565274747880957,1
199,91,0,4,2,1,1,0.195390235521463,0.165627162838901,0.141323629205649,0.368339679338119,0.509806418438073,0.198531964385876,0.69135081075038,0.288978927681043,0.330641559191379,0.424058476263162,1
203,70,0,5,1,2,2,0.584265670235326,0.46374510534147,0.249707086129818,0.296166549671169,0.884917494250714,0.12114542783043,0.454553642200299,0.234664680563832,0.279621873475923,0.274489668350146,1
210,95,1,1,1,1,1,0.375339768326777,0.435343514102056,0.0107651758364035,0.220594295127491,0.705246225866061,0.513126510439652,0.798659417501865,0.462953749107254,0.0792041090331976,0.294721364796525,1
257,83,0,2,1,2,2,0.355789890897897,0.50834028260468,0.435692843036203,0.343399550978688,0.505236664932547,0.546675178439462,0.593004492719133,0.343025021367618,0.651347709111009,0.669374724334239,1
267,69,0,5,1,1,4,0.236220962179124,0.175514850448736,0.199430284881202,0.215579526490492,0.815597082692371,0.465613959885876,0.469311909396201,0.239228131319866,0.25139859199815,0.219714235476668,1
282,89,0,5,1,2,3,0.0736243972859029,0.299340277426895,0.0282996620273442,0.43048416534009,0.712730422142554,0.294154893733426,0.593214280442257,0.0956468606597115,0.286116562197437,0.468864332420162,1
283,82,1,5,1,1,2,0.516191546562386,0.296040712728886,0.119953993761715,0.568108353270072,0.828234969116704,0.440405222645765,0.720956752808732,0.332588776464066,0.227076303217437,0.259284855409551,1
284,95,1,2,3,3,4,0.695332891427483,0.863837350480882,0.661699524760197,0.517609423149233,0.450214867390022,0.457083312239923,0.623264420025959,0.34653935231818,0.692591749060189,0.535302969896712,1
297,78,1,1,1,1,3,0.298519147187076,0.424280585953295,0.0785022846473133,0.563330173853894,0.687086535117274,0.274076989021657,0.6871471700839,0.303119458278583,0.1347214053984,0.352910264596332,1
307,79,1,2,3,1,4,0.313841986134429,0.203474245457273,0.0956860110979609,0.613959805264101,0.436668312209189,0.686028592034701,0.477297635176564,0.565181084962232,0.363366601502546,0.334851784081669,1
309,86,1,2,3,1,3,0.503932884755946,0.426503382380756,0.830125977011052,0.619221829230263,0.555634098844531,0.719868427203217,0.387554381078432,0.481232436853892,0.476429881266246,0.421433041222099,1
317,84,1,2,1,1,2,0.544299429992422,0.645403559822293,0.586854454789794,0.591112396866125,0.384375026720715,0.526329831200475,0.631015400117079,0.676189860066004,0.424038545225909,0.811668078568773,1
326,76,0,5,1,1,3,0.107292743935777,0.396937583416362,0.0861510195883595,0.144671339490275,0.747944013110774,0.464768033944355,0.648311427527308,0.256178188282825,0.252405278217521,0.276368941105774,1
334,88,1,1,1,1,2,0.133093938339094,0.272961722242546,0.199421370582811,0.336248524986973,0.683678472396348,0.464203157879246,0.857337396276418,0.217194679066662,0.0916024731186686,0.353625717695002,1
353,94,1,2,1,2,1,0.681281632457035,0.37293231355919,0.306669717738765,0.435317741209995,0.560398885510139,0.62529192941852,0.274727235957569,0.630663611306972,0.373866794587298,0.481061577974619,1
361,95,0,2,2,2,4,0.763980487309321,0.633020679894421,0.299241168517888,0.452040869244583,0.324973685728878,0.666852859245909,0.490474023917317,0.43240310469802,0.376864885115153,0.536204361688933,1
364,72,0,5,1,1,2,0.120098331605027,0.198323248951966,0.0382949820937354,0.503788589789096,0.510272929333032,0.318635901747594,0.659548118871162,0.250533186402579,0.284078764283067,0.36909942216681,1
372,70,1,2,1,2,3,0.345011512486444,0.82132851784756,0.259574174816831,0.612600247483479,0.501728608703571,0.564944848728534,0.608039532763601,0.485386880822752,0.512859450635931,0.757372673179071,1
373,63,1,1,1,2,3,0.908400997279325,0.524249139359232,0.610353836650001,0.949396710887741,0.133474631205733,0.917753261650257,0.716167077201933,0.851208564297456,0.575666468846073,0.131518082167071,1
379,58,1,5,1,1,1,0.226179054424579,0.467072560671341,0.520294607054209,0.365541995317134,0.476498336910998,0.541787086896289,0.891410151755975,0.363074502468792,0.368973577102714,0.424936789008865,1
381,66,1,2,1,1,6,0.727348942507765,0.630876122553491,0.59500451613796,0.584514847006055,0.598700499135625,0.66924214993632,0.794039619941967,0.39865920572931,0.310794107038737,0.415901082459318,1
385,72,1,5,1,3,1,0.914282694524467,0.781159937484663,0.361301251684326,0.622113262555547,0.541373387454986,0.496159886618364,0.641737172958754,0.32556584098048,0.621807011935144,0.808088287072458,1
397,95,0,2,1,2,5,0.601828458370992,0.667719274859024,0.795069181387895,0.652641923427699,0.651656823834534,0.63507056767362,0.860833247718584,0.277789874672535,0.430600589337792,0.672611318521104,1
412,93,0,5,1,1,3,0.071588721325776,0.415206834241289,0.0759610367423554,0.382166673305338,0.654057879325209,0.172950067722154,0.731248138055184,0.417805094447298,0.22870408753254,0.225657241221895,1
421,84,0,5,1,3,1,0.280796778981408,0.220142764585241,0.241150357666194,0.390088007243482,0.690132771341794,0.347294336066397,0.773063626048396,0.223675479847251,0.208710670047116,0.0963882657444682,1
424,72,0,5,1,1,3,0.280590403248153,0.188729397972944,0.0353368983346298,0.303590526945244,0.550323333406452,0.423469397255473,0.528731057753428,0.229900991865309,0.337804080015299,0.281773045463162,1
426,90,1,5,1,2,3,0.165538330634018,0.356137587028011,0.0527391227877683,0.410429113933233,0.789430158107634,0.567824796891684,0.728297096559146,0.306123880819477,0.303304113133677,0.330436475327801,1
432,95,0,1,1,2,4,0.452012640685447,0.25141657766979,0.155428651936008,0.373534555602675,0.694794398743936,0.318291122758971,0.636240840784582,0.163224063983317,0.219950455378603,0.374391582172997,1
437,78,0,2,1,2,2,0.13147354912345,0.678215413400843,0.532522215385808,0.466355256138581,0.414216735679649,0.646390242044949,0.437345166473001,0.427160419223943,0.615456518715241,0.740667526472101,1
452,58,1,2,1,1,4,0.810341470464119,0.468905903608751,0.123385867396693,0.406764149313872,0.334895987904498,0.288799984660163,0.440459042439408,0.228414019378464,0.330649631627293,0.473939610027365,1
453,74,0,2,1,1,4,0.800186766845615,0.537073032852282,0.620952507458367,0.54658377312065,0.713262360579908,0.411526477391306,0.560563264083119,0.538381893132581,0.542750916115257,0.677363376364719,1
462,88,1,5,2,1,3,0.191976538833228,0.227446140318677,0.209500642291295,0.167194949917211,0.365382479647496,0.350037930157799,0.484598439035258,0.146712008384926,0.0876922058918377,0.0170683971311855,1
464,69,0,1,2,2,1,0.212396424782748,0.660194473421325,0.0872837711225642,0.193388789508848,0.751016619920435,0.299283720034163,0.619584226801303,0.384990186320461,0.233871023340012,0.243978487137233,1
465,95,1,2,2,1,2,0.776105346791928,0.680073132234885,0.867279801498781,0.539670690712861,0.524546876011176,0.503147740341104,0.409825347010085,0.71115448806123,0.517931154081697,0.713083624785862,1
466,87,1,1,2,1,4,0.274476760975195,0.0470630290314726,0.254471835618306,0.26417379373804,0.506996569575027,0.281418005054407,0.672195811732165,0.118615691637628,0.18166544942688,0.297329672463445,1
470,87,0,5,2,2,2,0.402609267219858,0.489733242496279,0.0690367898095996,0.362057991933736,0.556284432134351,0.289828216592044,0.558113544962268,0.272222654035487,0.209690469030848,0.322111338327395,1
471,82,0,5,1,3,1,0.380819273622168,0.251407684658397,0.170984560248405,0.42341893263636,0.411770945545411,0.416875465895443,0.753043114679087,0.228669551034187,0.13954452341073,0.261431164043949,1
476,72,1,2,1,2,3,0.501139878404665,0.542707086209213,0.383981439123526,0.48592000796135,0.723043752785565,0.63209786990995,0.358945792464754,0.579669329651694,0.439239820694135,0.637052640107235,1
480,71,0,2,3,2,2,0.668092167290406,0.833289827409805,0.590614221216194,0.616682947343386,0.545193474318221,0.440150976089984,0.756890804495396,0.332484762126852,0.476153863908922,0.485438326237787,1
488,67,0,2,1,1,1,0.348416094975016,0.37231083808488,0.379677968151025,0.35543954536698,0.36347086478923,0.249540305701375,0.412735949006191,0.225908138551523,0,0.471339103665751,1
491,72,0,2,1,2,1,0.774080019911899,0.45838967082304,0.469162741380994,0.645507431111524,0.621931930441699,0.295907767632377,0.560555040897695,0.462293151951962,0.261667327869791,0.677654702110454,1
497,72,1,2,1,1,3,0.846562075772187,0.660302132129948,0.189290839216904,0.209057833241347,0.308748260475955,0.636904306365756,0.506490236149321,0.34933398745943,0.430874265644158,0.828551894805067,1
498,76,1,2,1,3,1,0.644637251932776,0.324627905829167,0.833972065202463,0.254868317664234,0.734413030010084,0.784278848646035,0.548233894566583,0.653775364650922,0.468519170502314,0.620918075987559,1
499,92,0,1,1,1,1,0.608767590594675,0.498350683934434,0.119022355065975,0.496171329359112,0.709148517645204,0.425233626672835,0.781715180359344,0.323678370917109,0.192534629874979,0.0733390285894944,1
502,81,1,2,3,2,3,0.734664777112561,0.725144901679459,0.752832993780528,0.562395897602943,0.863489233812963,0.593592114395402,0.647202719482824,0.534730995168682,0.478656853149401,0.661040862163045,1
513,59,0,2,1,2,5,0.454931125559115,0.631621189448874,0.390377275097333,0.328816552965749,0.460637512064097,0.582244156839993,0.79615007827282,0.310986915147321,0.184856499354836,0.668774232403008,1
516,82,0,1,1,1,4,0.247155423010868,0.644801092847953,0.678047926145353,0.346460128101464,0.559115223533159,0.64337826348481,0.552556323078409,0.139258500177559,0.576445050533522,0.514538317729297,1
529,66,1,2,1,2,3,0.769428724329036,0.682420747586365,0.481551509401475,0.566920658338727,0.579676676591469,0.490772857011378,0.508216429369546,0.509893319428839,0.468997546004842,0.735208427590974,1
542,83,1,2,1,2,1,0.772571954586945,0.478194287504165,0.326420708732331,0.577000574212098,0.728435545503004,0.940197375073898,0.84038673340963,0.444212766399449,0.601608967230019,0.611074983613981,1
554,93,0,5,3,2,3,0.243954708569085,0.482007252380973,0.194763266971406,0.641720025275992,0.635384738697894,0.303987300683429,0.67304149448894,0.331845288331567,0.163660383269344,0.383705198480812,1
559,77,0,2,1,1,1,0.800979535729798,0.445999375689176,0.313607364507607,0.416143057476403,0.680401573281634,0.703005391721229,0.556040943613512,0.292914973908734,0.0669816396106857,0.561326360823905,1
566,95,0,5,2,3,4,0.536469593241682,0.379862869389183,0.0825367624129589,0.320313691770702,0.671639718842897,0.436764677493799,0.769456318437863,0.131906319482195,0.232964057978455,0.393883099225805,1
568,93,0,1,1,2,1,0.189957584008075,0.46296265656253,0.0563421639319121,0.303442749554732,0.619608061058252,0.266438751244766,0.658422401256895,0.216014363891947,0.213645095271084,0.220235755409199,1
573,88,0,2,1,2,6,0.780905355378202,0.456295210672561,0.439869260650474,0.558825806533943,0.496320764962492,0.582921866745352,0.697885003499997,0.077853641209702,0.207641058091822,0.456181012687025,1
574,66,0,5,1,1,1,0.276864355316492,0.177815288742821,0.131069261943005,0.17305180704273,0.586121251355379,0.0668588902723615,0.269538194561716,0.376193357213219,0.148037925411855,0.267996525819542,1
587,75,0,5,1,2,4,0.26977427154478,0.756182339453883,0.16116222720814,0.413922107427702,0.40651399629637,0.0825720051855692,0.712892246990668,0.290112081439203,0.133719192639166,0.112370007686044,1
596,91,0,5,1,1,4,0.274541958119569,0.292626458752741,0.140371238517104,0.402476629686687,0.411632996590613,0.309948411372874,0.647529354562602,0.323725270697497,0.416863324390052,0.423064175623782,1
607,82,0,2,2,1,3,0.570009707568448,0.711397677676493,0.702692414193853,0.319498560956855,0.480293238834844,0.655196529664223,0.610002772723752,0.789962542522857,0.273492303641341,0.74795733883377,1
615,83,0,2,3,1,6,0.485635280736569,0.474307530303165,0.533448681262449,0.411006982522436,0.621426044405623,0.552259097682733,0.721447300702304,0.377242512303611,0.511654312327659,0.702793037802463,1
