Age;Gender;Job;Area;CitySize;FamilySize;Income;Wealth;Debt;FinEdu;ESG;Digital;BankFriend;LifeStyle;Luxury;Saving;Investments
55;1;2;1;2;1;0.423159245;0.34993963;0.704131261;0.491428097;0.868773054;0.707005018;0.634942994;0.667977079;0.692125096;0.683139573;1
77;1;5;1;2;1;0.594160245;0.686119782;0.426209813;0.745604982;0.664825729;0.42179545;0.710873505;0.393307426;0.72465012;0.493671799;2
20;1;2;1;2;1;0.780942881;0.885295036;0.659216014;0.683937323;0.57030022;0.659401028;0.614393166;0.440039609;0.426781861;0.52844946;1
92;1;2;1;1;4;0.861611259;0.550951657;0.554113661;0.213583505;0.616129089;0.707665516;0.36229893;0.481881218;0.50073935;0.37040203;1
71;1;5;1;2;2;0.763162711;0.752209363;0.72462016;0.422889763;0.782324696;0.701488347;0.82587804;0.326024105;0.854606514;0.31069424;1
39;1;2;1;2;1;0.578239723;0.460018085;0.776097009;0.914257031;0.690038798;0.885780203;0.773063626;0.49753697;0.71705193;0.49707198;1
76;1;5;3;2;5;0.40058863;0.557009569;0.40202527;0.12678182;0.603975773;0.697207461;0.542083906;0.193368203;0.700534575;0.776717923;1
23;1;2;1;3;2;0.878751687;0.880585933;0.048726352;0.821986736;0.600590241;0.561326047;0.381540275;0.882358093;0.780179745;0.500873829;3
79;1;3;1;2;1;0.637105741;0.732083367;0.845604199;0.324002801;0.734228282;0.006510351;0.54653135;0.601796567;0.600848427;0.50034835;3
39;0;2;1;1;2;0.931033627;0.902669908;0.707609174;0.645631067;0.617718564;0.360180005;0.541249443;0.75000977;0.530814243;0.469516952;2
55;0;1;1;3;2;0.763362045;0.958629599;0.798021383;0.792768633;0.770760771;0.844432789;0.679985929;0.767480963;0.19495919;0.616435959;1
44;0;2;1;2;1;0.370692837;0.766267083;0.217564703;0.801301447;0.352946441;0.439600769;0.270295227;0.369022258;0.382346855;0.821896319;3
71;1;1;1;2;1;0.400442391;0.959945629;0.716297592;0.747345087;0.689141348;0.532469929;0.77529242;0.800896827;0.263200685;0.400553432;2
53;1;2;1;3;2;0.40025495;0.700417261;0.644018528;0.627410481;0.600022019;0.892156087;0.857394321;0.687953641;0.779164438;0.682714449;3
95;1;2;1;2;1;0.714978201;0.818290097;0.188307079;0.432227557;0.41289443;0.500119438;0.514765526;0.325380021;0.580028824;0.804597439;3
19;1;2;1;3;2;0.707955775;0.520192694;0.717658503;0.801190463;0.426030868;0.208609236;0.491224374;0.612951019;0.175147039;0.730517392;2
31;1;2;1;3;1;0.852063309;0.697400274;0.225213174;0.545258227;0.56464876;0.906040391;0.655853311;0.547016446;0.002650461;0.87344362;2
81;1;5;1;2;1;0.472340268;0.616732055;0.778794428;0.4781066;0.624160001;0.181052939;0.485180257;0.457348756;0.600647327;0.405771458;1
20;1;1;3;3;1;0.458624662;0.670580993;0.372004771;0.658089113;0.075064084;0.231651917;0.600905938;0.602569925;0.260454905;0.497982109;1
49;1;2;1;1;4;0.537674233;0.835513005;0.877841138;0.500486743;0.458376167;0.453242618;0.257084367;0.677498401;0.92842508;0.722226173;3
80;0;1;1;2;1;0.700542393;0.270008753;0.341061626;0.79463525;0.574381366;0.071548095;0.694379226;0.266958188;0.335761059;0.200409774;2
71;1;2;2;1;3;0.460118641;0.47534245;0.342089873;0.509375863;0.699420954;0.198161061;0.502538103;0.534579152;0.383839163;0.893357149;2
41;0;2;1;3;4;0.248691281;0.465757235;0.80889663;0.408233871;0.45720815;0.172147172;0.349034603;0.150667119;0.805431151;0.301672193;3
28;1;5;1;2;2;0.915155879;0.514155584;0.505851377;0.247703487;0.403769171;0.302223463;0.575363171;0.339202093;0.814065098;0.878289782;1
77;1;2;3;1;3;0.700176063;0.735267344;0.430021124;0.455039095;0.175547615;0.90173514;0.772359163;0.793352167;0.514781989;0.213832039;3
34;0;2;2;2;2;0.600360287;0.300445162;0.711315083;0.314483359;0.404464799;0.800234742;0.371701761;0.560008604;0.40731645;0.361317365;1
83;0;2;1;1;2;0.83001359;0.343105158;0.202290242;0.672902904;0.633154125;0.188830934;0.378290154;0.214461787;0.626707334;0.51186759;2
68;1;2;1;3;2;0.301463039;0.526486801;0.453581518;0.388844544;0.63350221;0.10014255;0.796634749;0.712138889;0.668819612;0.35590178;3
78;0;2;1;3;5;0.807617496;0.597226174;0.030933778;0.445727439;0.41300666;0.828551555;0.238417422;0.636904306;0.34911919;0.231099058;2
48;1;2;1;3;4;0.310924589;0.417907155;0.113651012;0.435982105;0.692079701;0.30024626;0.583271632;0.160075684;0.661366792;0.802932697;2
76;0;2;1;2;2;0.634645768;0.363053486;0.95458502;0.900752091;0.502731771;0.372024088;0.62518276;0.640038168;0.454932732;0.823703567;1
49;0;2;2;2;4;0.26340792;0.558906138;0.174428794;0.470287371;0.657038753;0.911200296;0.510916731;0.400107706;0.489050927;0.502850506;2
94;1;5;3;1;1;0.761038112;0.645798014;0.386405016;0.604999852;0.387052357;0.900890083;0.202459805;0.147196176;0.620566182;0.590011863;1
60;0;5;2;1;4;0.602948371;0.446309281;0.428051301;0.814835926;0.909600073;0.654486224;0.372071363;0.201101902;0.56834247;0.59213142;2
76;0;5;1;2;2;0.208278344;0.750004964;0.822814407;0.576961005;0.358158654;0.940049673;0.903786847;0.796395061;0.860409827;0.612220682;3
52;1;2;1;2;1;0.441975913;0.522425533;0.482314349;0.70051281;0.658055648;0.512439527;0.942027916;0.565274017;0.858976771;0.602935356;2
75;1;2;3;1;6;0.785269543;0.405009391;0.409482337;0.717242711;0.67462741;0.750113373;0.886831858;0.925220945;0.53777055;0.488108438;1
88;1;2;3;2;2;0.55288462;0.385077282;0.463322281;0.817882874;0.614796217;0.736189213;0.879521721;0.565863225;0.198274919;0.69577762;3
29;1;2;2;2;1;0.400355174;0.577350353;0.378237667;0.698500834;0.742030971;0.819360501;0.361687084;0.566932979;0.643974128;0.309015335;2
93;1;2;1;2;3;0.72802191;0.820087092;0.793940256;0.410060888;0.664815729;0.87070426;0.518163404;0.141923978;0.703660501;0.695105177;2
66;0;5;1;1;1;0.692228767;0.671101862;0.342825061;0.61263381;0.597161226;0.72192464;0.418488463;0.00265046;0.497690126;0.058080127;2
28;0;2;1;3;1;0.298057274;0.51324197;0.14010707;0.269942614;0.670057264;0.430771716;0.883893481;0.148084098;0.951056934;0.310365275;1
95;0;5;1;2;1;0.258065639;0.560679649;0.574448664;0.170797173;0.469785748;0.549145747;0.771444061;0.234874155;0.616089038;0.13754309;3
62;1;2;3;1;6;0.537383695;0.738450122;0.812881284;0.651017814;0.508597097;0.507621549;0.619658471;0.864987809;0.841719926;0.772556606;3
55;0;5;1;2;1;0.833407181;0.188859982;0.652093152;0.534109078;0.751137651;0.8231737;0.782355969;0.81931835;0.97134586;0.67618795;1
29;0;2;1;1;6;0.77657899;0.496074589;0.307082723;0.576961879;0.358158654;0.393756889;0.775726747;0.426941175;0.847508304;0.788977544;1
27;0;2;1;1;1;0.270823137;0.681892124;0.524429438;0.35507512;0.714163061;0.408213148;0.744846573;0.654040808;0.352393968;0.264058136;1
23;1;4;2;2;1;0.270587119;0.843022132;0.479048458;0.651086499;0.545862081;0.421205494;0.492803924;0.82015852;0.752862348;0.75720091;1
19;1;1;2;3;1;0.569519825;0.316043179;0.001349145;0.347701046;0.440770476;0.620219383;0.874951031;0.822213622;0.534534848;0.363079008;2
53;0;2;1;2;1;0.120199952;0.633992739;0.629772981;0.560289213;0.718621086;0.962887344;0.749385714;0.276727194;0.344901126;0.659169992;3
91;1;4;3;2;4;0.50003987;0.773428601;0.605018527;0.453088965;0.579790699;0.485713534;0.862506201;0.371631254;0.604757715;0.474352861;2
54;1;2;2;3;1;0.75047914;0.50862855;0.633326219;0.794215044;0.74636744;0.692371502;0.370287129;0.801577095;0.130434426;0.750094812;2
66;1;5;1;2;3;0.800042;0.486202594;0.082017905;0.402200129;0.654614976;0.554270625;0.043441818;0.180000632;0.804605537;0.772999273;1
73;0;2;2;2;5;0.23050608;0.87933039;0.254295266;0.403864324;0.476111101;0.600681859;0.647464373;0.483054293;0.521411226;0.300110361;3
68;1;2;1;1;1;0.7262915;0.363448525;0.53378919;0.261687436;0.678887238;0.260059866;0.421966472;0.500016;0.456528922;0.463594999;3
95;1;2;1;1;4;0.730193119;;0.049616143;0.916043391;0.484154291;0.195197102;0.70909649;0.680858026;0.357859896;0.684088055;3
87;0;2;1;1;3;0.355016765;0.680800187;0.22721797;0.81656104;0.623006104;0.580020537;0.60111427;0.677802879;0.576288686;0.408218807;1
88;1;2;2;3;4;0.440543061;0.608421006;0.595278456;0.433501506;0.717056401;0.903539884;0.690781246;0.722603298;0.545941136;0.355112908;1
69;0;5;1;2;3;0.540366502;0.620208509;0.803600585;0.232167009;0.548662995;0.481167602;0.775297169;0.536835146;0.42280124;0.700180698;1
72;1;5;2;2;1;0.70903786;0.72221926;0.231044837;0.746902214;0.840002761;0.382249411;0.50763779;0.220637971;0.100125423;1;2
79;0;2;2;3;3;0.912481535;0.664894809;0.604200506;0.804048693;0.599758856;0.614781783;0.734444368;0.665887064;0.795127172;0.665673917;2
50;0;2;1;1;5;0.54120492;0.344504504;0.769573529;0.756199441;0.31821545;0.754039315;0.92502988;0.219537843;0.222863804;0.580028824;3
57;1;1;3;2;1;0.629350545;0.477002272;0.193221124;0.709239306;0.815773441;0.461024907;0.491352967;0.333207224;0.530258479;0.93096799;2
21;1;4;1;2;1;0.18830238;0.267537995;0.736420536;0.331336681;0.612220808;0.620220852;0.4600293;0.700345575;0.405891472;0.501901068;3
22;0;2;1;3;1;0.837044301;0.911910863;0.205803629;0.567501977;0.742000997;0.57011057;0.657851708;0.568263466;0.379804706;0.561450591;1
83;0;2;1;2;2;0.41529876;0.51770631;0.002446812;0.770754143;0.674730019;0.389912425;0.563510613;0.572679082;0.717241142;0.794938274;2
21;1;2;2;3;3;0.595559629;0.664638772;0.625380657;0.561326361;0.405728469;0.34131814;0.497575929;0.700285381;0.492920975;0.158262329;3
51;0;2;1;1;6;0.40132793;0.823803316;0.123477919;0.55313144;0.656984178;0.500848788;0.813645891;0.353209762;0.760067786;0.733911255;3
53;0;2;1;3;1;0.667276505;0.386014648;0.340425109;0.430560572;0.207073854;0.541444657;0.44869987;0.061325608;0.333977824;0.811965665;3
31;1;2;3;3;2;0.664516997;0.423910773;0.595226821;0.299022767;0.821762723;0.211416554;0.422752462;0.710369097;0.670091726;0.090407027;3
77;1;3;1;2;1;0.772136741;0.677585885;0.679910405;0.390580513;0.538031988;0.900590423;0.262610441;0.435374207;0.35972889;0.678617867;1
50;0;5;1;1;2;0.592764077;0.62701988;0.696609822;0.661407063;0.618772246;0.500120843;0.583079793;0.336055455;0.330784423;0.2056046;1
58;0;2;1;1;3;0.496851949;0.55008924;0.590832959;0.684003416;0.704762416;0.593476071;0.737261972;0.390940717;0.89177956;0.5367061;2
21;1;2;1;2;2;0.639619956;0.565044913;0.50204268;0.675154032;0.578685338;0.180755394;0.36226251;0.4574853;0.81988232;0.467402708;2
53;0;2;1;2;4;0.423502357;0.496308252;0.52160047;0.102182752;0.69980026;0.961093758;0.835468103;0.16784461;0.252050176;0.430495945;1
42;1;2;2;2;2;0.173278371;0.71308863;0;0.93024253;0.551050943;0.513451427;0.672090124;0.608192238;0.31566069;0.655807038;1
43;1;4;1;1;3;0.473913678;0.551942986;0.429735687;0.819872213;0.302790592;0.430503873;0.684860046;0.765323303;0.992282055;0.669573832;2
89;1;2;1;1;2;0.640221202;0.761020568;0.265503479;0.539016429;0.632891032;0.440336628;0.525359349;0.854300302;0.17071006;0.748760553;1
95;1;5;1;1;1;0.554779331;0.646607051;0.816801292;0.460024709;0.600620767;0.3553513;0.775439762;0.714002902;0.823210822;0.461100687;3
95;1;2;1;1;1;0.711452555;0.83422464;0.797839802;0.353623947;0.202655587;0.834063074;0.638376151;0.728383769;0.456447691;0.42757395;1
93;0;5;1;1;1;0.635895763;0.715584369;0.462353524;0.630854317;0.239906051;0.233085419;0.598930706;0.203385933;0.580716514;0.272641014;2
86;0;2;3;2;2;0.71627835;0.756809312;0.800224381;0.716034561;0.870950741;0.864022227;0.574562517;0.552626656;0.70794871;0.871951477;2
39;0;2;1;1;6;0.75588983;0.55447298;0.478867007;0.201520114;0.751342002;0.729675819;0.27089026;0.366675927;0.296786338;0.453722095;3
50;0;2;1;1;2;0.400108253;0.465083743;0.550968365;0.665488304;0.70186026;0.493044495;0.84160645;0.81168665;0.713168424;0.651275373;3
24;1;3;2;2;6;0.595005928;0.525013505;0.444048927;0.877589323;0.761602243;0.493237765;0.872483876;0.360284335;0.119627329;0.538741116;3
79;1;2;1;2;1;0.604878184;0.435100314;0.55929095;0.581822534;0.449070966;0.510020322;0.725060859;0.900798175;0.460134215;0.611620507;3
74;0;2;1;3;2;0.721147053;0.42162746;0.192642862;0.693683524;0.469785748;0.411715311;0.771444061;0.299066231;0.275920677;0.721102061;3
40;1;2;3;1;3;0.868555241;0.33101448;0.522163066;0.80304119;0.699444342;0.772507063;0.9702489;0.819928991;0.601804306;0.91581474;3
72;1;5;1;2;2;0.688135629;0.570787782;0.568173658;0.599147534;0.465410596;0.363506372;0.73690745;0.504086892;0.828234969;0.817782724;2
73;1;2;1;2;2;0.620067791;0.739988772;0.770068963;0.90060811;0.706389274;0.578866763;0.408502114;0.160770351;0.529207461;0.406974906;3
72;0;2;1;3;3;0.207576045;0.535707086;0.132994499;0.550421494;0.940213372;0.13481919;0.792583036;0.459375873;0.516317319;0.201743977;3
87;0;5;1;1;1;0.35887665;0.527388044;0.634231027;0.386127477;0.630046167;0.165857681;0.709760187;0.094905287;0.262265076;0.687028894;2
72;1;2;1;3;2;0.710084628;0.260574825;0.052739122;0.596308253;0.600122939;0.192768629;0.20811089;0.54400879;0.404303161;0.219063707;2
34;1;2;1;3;1;0.329750946;0.451525504;0.395201549;0.394304054;0.338870113;0.880579364;0.570797317;0.500878758;0.364428343;0.305857715;3
57;1;2;1;2;2;0.385178843;0.586471605;0.210511013;0.673375424;0.445948787;0.588009152;0.87427632;0.423310621;0.544689502;0.50570147;3
72;0;2;2;2;2;0.812386317;0.795170961;0.544300219;0.919809607;0.820504253;0.573542476;0.570993124;0.610339713;0.398738033;0.679495352;2
72;0;2;1;2;1;0.510568703;0.500862391;0.472294108;0.219035596;0.236303173;0.686926662;0.37648973;0.762347458;0.54452274;0.450722806;1
75;1;2;2;3;1;0.318048407;0.578509559;0.290710743;0.602343453;0.502051354;0.776895508;0.70935954;0.228925357;0.385802826;0.682545404;2
