Age;Gender;Job;Area;CitySize;FamilySize;Income;Wealth;Debt;FinEdu;ESG;Digital;BankFriend;LifeStyle;Luxury;Saving;Investments
57;1;2;3;3;6;0.864384775;0.801187523;0.220061637;0.934055662;0.58603996;0.786850732;0.728473993;0.004711233;0.223532735;0.44161729;1
82;1;2;1;1;2;0.814954015;0.19145503;0.06929686;0.552059117;0.365385079;0.21646963;0.484598439;0.091243733;0.268590628;0.193569579;3
70;0;2;1;3;1;0.625390845;0.338433853;0.492851968;0.279163376;0.673859538;0.774380466;0.272016504;0.864360272;0.77450744;0.68024676;2
43;0;2;1;1;2;0.845177055;0.69507824;0.321041483;0.509300176;0.699420954;0.425670348;0.502538103;0.761633016;0.485110943;0.82037819;1
27;0;5;2;2;1;0.820301505;0.474322238;0.776267444;0.306748286;0.783897585;0.325961248;0.803700859;0.398622887;0.031008654;0.780101854;2
46;1;2;1;3;2;0.46561396;0.326587125;0.299179158;0.343005432;0.662155714;0.260390406;0.617575049;0.05094777;0.32304932;0.42842324;3
26;0;2;2;3;1;0.533803849;0.760047024;0.420455773;0.86725489;0.370119937;0.50807381;0.697410337;0.504840673;0.191140623;0.450646828;3
64;0;2;2;2;6;0.732462435;0.594079081;0.702029413;0.540082706;0.6000685;0.289086836;0.52618001;0.616252434;0.142194207;0.350044724;1
21;1;2;2;2;4;0.384048168;0.57132656;0.250358533;0.848010575;0.583297128;0.784205681;0.87070341;0.428648255;0.512004504;0.604050638;1
95;1;2;3;2;2;0.929234253;0.381660394;0.439072012;0.641100122;0.442200627;0.598026933;0.703857687;0.209707801;0.780006436;0.730988572;1
72;0;2;1;2;1;0.630035046;0.601306995;0.338746011;0.555176884;0.433802974;0.841938105;0.536291496;0.222758411;0.107242731;0.648647648;3
28;1;2;2;2;3;0.76810637;0.48656136;0.378138053;0.43786956;0.671684344;0.434602474;0.8604648;0.200005677;0.600048099;0.713316884;3
81;0;2;1;3;4;0.765861457;0.665613471;0.270292297;0.708340472;0.548431434;0.904473731;0.773037145;0.781574018;0.870490433;0.801459882;3
89;0;2;1;2;2;0.377029849;0.76024866;0.923539412;0.78018656;0.643390004;0.750952079;0.86561301;0.665810656;0.570215755;0.9999999;3
19;1;2;2;3;4;0.760933275;0.58660426;0.671480033;0.457008795;0.605002266;0.29034166;0.47826764;0.600680044;0.665936884;0.589433462;3
61;0;2;3;2;4;0.506718369;0.751592526;0.498492895;0.693514954;0.441426887;0.120767201;0.698080482;0.660903627;0.569189618;0.156108255;1
87;0;2;2;2;2;0.598106575;0.623308168;0.502304464;0.877502803;0.761602243;0.800742025;0.872483876;0.405228986;0.270448514;0.910337417;3
44;1;2;2;2;2;0.374004412;0.29709136;0.627412306;0.657878859;0.820891304;0.265650469;0.825675646;0.505741647;0.85020423;0.003813663;2
56;1;2;1;1;1;0.608805382;0.726809396;0.02065506;0.679015164;0.284449886;0.892506096;0.841843627;0.375193897;0.583401553;0.409091935;3
56;1;2;1;2;1;0.560644338;0.40474243;0.09202655;0.608615934;0.700270424;0.735220321;0.351565382;0.694757639;0.549306081;0.794872354;3
52;0;2;1;3;2;0.02374882;0.272700514;0.222086937;0.407904451;0.64875822;0.27225684;0.457865914;0.390113963;0.620303059;0.647353992;1
71;1;2;1;2;2;0.957027632;0.695203903;0.448881047;0.655337131;0.661176238;0.600114907;0.694998612;0.627454177;0.803785319;0.394501471;3
70;1;2;1;3;3;0.579310765;0.61161014;0.871320602;0.405678184;0.40023281;0.379516484;0.827785661;0.731906782;0.069049361;0.414090327;1
84;1;2;1;3;1;0.74540914;0.780461544;0.023654672;0.27697504;0.60091726;0.729498024;0.5674164;0.51760111;0.53690825;0.780192167;2
46;0;2;1;2;1;0.738398725;0.30186897;0.603167505;0.730356582;0.905451047;0.856344552;0.449310211;0.312602741;0.632717246;0.371353088;3
54;0;4;1;3;1;0.263368323;0.709770065;0.175005871;0.670199944;0.52142068;0.515061435;0.606783375;0.519705405;0.748105914;0.724002924;2
89;0;5;1;2;3;0.515198408;0.584173622;0.020688096;0.271107242;0.562181635;0.312859156;0.35807595;0.299188339;0.120123061;0.414578327;2
51;0;1;1;2;1;0.338573332;0.495740336;0.887868099;0.292001196;0.578377602;0.300017937;0.709747985;0.384815218;0.114062097;0.459120544;1
62;1;2;2;1;3;0.875543127;0.478542005;0.346196814;0.560060973;0.400427178;0.497223158;0.874918941;0.232012255;0.697702015;0.956020848;3
22;0;2;1;3;1;0.887411466;0.522697215;0.76850525;0.339856085;0.360190099;0.744245638;0.576809202;0.531091435;0.212380409;0.318568843;3
82;1;5;1;2;1;0.500392829;0.375310632;0.425270037;0.915107645;0.700129514;0.17510852;0.567176472;0.786853389;0.702191629;0.891575333;3
55;1;2;1;3;3;0.647834585;0.46712086;0.639411211;0.242600873;0.665251473;0.460265578;0.660278309;0.713971931;0.545196601;0.601060967;3
47;1;1;3;3;2;0.300770921;0.272705046;0.570102751;0.799195622;0.399720361;0.480966664;0.431253572;0.27692507;0.412476835;0.668013842;3
62;1;1;1;1;1;0.782358475;0.802764262;0.48494711;0.383610073;0.669066799;0.542918038;0.692467773;0.707925819;0.53582214;0.331646217;2
66;0;5;1;1;4;0.431340607;0.408702096;0.706078188;0.861977941;0.724332648;0.408418056;0.543009579;0.794849918;0.799348316;0.705856863;1
69;1;2;3;1;5;0.701054367;0.438092556;0.560886921;0.33176139;0.755608013;0.633993809;0.758288087;0.594271862;0.758970047;0.567210966;1
58;0;2;2;2;1;0.51944211;0.841615282;0.692575206;0.815138288;0.631974661;0.634071887;0.484617472;0.913195048;0.84042441;0.404385365;3
87;0;5;3;2;5;0.675003698;0.841015544;0.83994884;0.566617963;0.581250653;0.646906136;0.483736479;0.805380829;0.672182833;0.827024465;1
69;0;2;1;1;4;0.29014065;0.235411113;0.377059717;0.524153102;0.905728675;0.361744494;0.598159391;0.70043463;0.189818658;0.402543612;2
73;1;5;1;3;1;0.521080065;0.463417825;0.850088899;0.49630742;0.603525464;0.417124897;0.680482572;0.42600727;0.499225664;0.521877583;1
19;0;2;2;1;2;0.541904957;0.943983808;0.551708106;0.173783611;0.832242111;0.157099536;0.715324818;0.58708365;0.62041441;0.520504778;3
75;0;2;1;2;2;0.561050972;0.467563412;0.432234659;0.691266231;0.676935037;0.49089604;0.559588534;0.647391882;0.409602253;0.396566711;3
82;0;2;1;1;3;0.79708466;0.410057265;0.546551294;0.62844664;0.476076549;0.683173014;0.714240652;0.326903616;0.650240923;0.601051121;2
36;0;1;1;1;1;0.325644023;0.343291246;0.843718478;0.538020478;0.798204165;0.428560707;0.867766339;0.402938122;0.071435638;0.769107832;3
52;0;2;1;3;1;0.88100389;0.536837335;0.250010376;0.76339025;0.56125297;0.479912443;0.414306716;0.545730034;0.323393922;0.709028027;1
62;1;2;1;3;4;0.636360152;0.301037464;0.597244558;0.456297935;0.79942263;0.835877208;0.408500037;0.375948704;0.159099582;0.902662229;3
60;1;2;1;2;4;0.927865374;0.394340202;0.401193047;0.398610476;0.633112109;0.800695952;0.593730963;0.499403371;0.62582593;0.799361646;3
58;1;5;1;3;1;0.40029099;0.724043877;0.26415699;0.42092926;0.543867804;0.435027609;0.559783278;0.647072467;0.46894519;0.559970176;3
86;0;5;1;2;6;0.534979474;0.929152829;0.516520405;0.595761909;0.368329147;0.150335408;0.473281869;0.670209618;0.555209585;0.755699016;2
56;0;2;1;3;2;0.79725137;0.573006996;0.105024995;0.623357672;0.666707357;0.098581794;0.45724781;0.510858668;0.283018081;0.006510352;3
20;0;2;1;2;1;0.883005292;0.792369579;0.51390086;0.808794071;0.798209768;0.34734258;0.867766336;0.437850347;0.457715494;0.613566641;2
83;1;1;1;3;5;0.53804624;0.620295035;0.164227903;0.558201406;0.619146718;0.709109854;0.675736505;0.60533438;0;0.609785781;3
87;0;2;3;1;4;0.241188899;0.68635279;0.219845834;0.729851375;0.600583834;0.249026264;0.750903161;0.465906403;0.437023598;0.684474183;1
73;1;5;1;1;3;0.661339812;0.740088585;0.537474401;0.455057112;0.624388079;0.253822517;0.35642042;0.277571058;0.230767535;0.113236799;3
50;1;2;1;1;1;0.521606319;0.596306003;0.326464519;0.408528431;0.712290771;0.72347881;0.283278674;0.554270174;0.306812247;0.910203391;3
77;1;5;1;2;1;0.38350675;0.503052903;0.313001433;0.224076052;0.489800901;0.453067279;0.476288569;0.478651234;0.683432571;0.349777538;2
67;0;5;1;2;6;0.822556923;0.150209671;0.200409774;0.433647694;0.906335743;0.632889001;0.438632748;0.307006436;0.200378493;0.275320704;2
61;1;2;1;3;1;0.930082081;0.77507333;0.572709174;0.920008749;0.635010305;0.478409603;0.775088001;0.890088007;0.220334388;0.418031297;3
60;0;2;1;2;1;0.741489603;0.464037162;0.101334505;0.576442387;0.263653347;0.477731456;0.448931436;0.610170724;0.74023346;0.240218381;3
49;1;1;1;2;1;0.525008702;0.196240974;0.725097457;0.405437666;0.775581663;0.513303023;0.630517249;0.700484792;0.515443879;0.817708635;3
77;1;5;1;1;2;0.364341009;0.74806802;0.04896727;0.613071346;0.240702526;0.252676151;0.529966328;0.59091707;0.463010482;0.500035153;2
82;0;2;1;2;3;0.62266443;0.470409453;0.74956912;0.569687671;0.262558185;0.339260348;0.746283863;0.355782356;0.572328871;0.537174568;3
67;0;5;2;2;2;0.244360293;0.43005708;0.210823137;0.365201656;0.570544593;0.644051781;0.71442704;0.214998612;0.156488536;0.01084259;1
39;0;2;3;2;2;0.883897857;0.120678818;0.892557889;0.150202801;0.819253059;0.549318008;0.683973751;0.914566658;0.595200421;0.77026898;2
27;0;1;2;3;1;0.948094323;0.979728851;0.515483562;0.543339664;0.845808087;0.533639426;0.897731327;0.610228971;0.881553611;0.761055629;3
48;0;2;1;3;1;0.518706055;0.354217385;0.090011242;0.744946579;0.50621272;0.439601402;0.888093868;0.323210833;0.127402153;0.299205096;1
69;1;5;1;2;1;0.676572793;0.202700971;0.01084227;0.690628591;0.740757433;0.470207012;0.60995964;0.71987349;0.293168059;0.740043214;1
41;1;3;1;1;1;0.608000509;0.614679669;0.402133326;0.521989657;0.216503202;0.56101847;0.68290576;0.234896753;0.753050941;0.477580374;2
73;1;2;1;3;1;0.752473866;0.736200525;0.104756907;0.422444443;0.412903816;0.671802881;0.777082408;0.846880759;0.4006713;0.430125782;3
51;0;3;1;3;1;0.300046839;0.399150223;0.220258308;0.380615848;0.739953075;0.374607506;0.851971499;0.585886846;0.64017392;0.611986577;3
68;0;2;1;2;3;0.502867551;0.609050312;0.151431012;0.580417916;0.643160028;0.486725697;0.595920727;0.742195455;0.343753963;0.241177041;3
84;0;1;1;3;4;0.54239679;0.490288637;0.335697452;0.400284646;0.763390327;0.363399315;0.797617475;0.317559315;0.514668127;0.822560417;2
59;0;2;1;1;2;0.312061769;0.745417041;0.19136634;0.631668392;0.708280324;0.750011518;0.409088043;0.300256007;0.506763776;0.300093196;3
73;1;2;2;3;2;0.752976865;0.404868925;0.642705203;0.500536363;0.632348492;0.292739486;0.52277046;0.558172314;0.420208967;0.552326177;3
69;1;5;1;1;1;0.747948812;0.710059787;0.439861228;0.309740094;0.666602801;0.735095472;0.797472815;0.910859206;0.499316282;0.750393185;1
79;0;5;1;1;5;0.212337952;0.563096475;0.0477306;0.510298131;0.773741274;0.483504334;0.36479165;0.050205672;0.46160979;0.343518354;3
61;1;5;1;2;2;0.674017736;0.54797946;0.367384199;0.350017998;0.736289551;0.664371955;0.742152322;0.866860104;0.112113998;0.198909209;1
40;1;2;3;3;4;0.341196195;0.761008403;0.9999999;0.460322608;0.464950287;0.659433714;0.766836359;0.684067648;0.309284042;0.591442052;3
92;1;2;1;2;1;0.540122151;0.365193121;0.467700864;0.676519364;0.526864535;0.324392825;0.82184021;0.090173469;0.372123499;0.203070468;3
26;1;2;2;1;3;0.442918371;0.351033901;0.491800026;0.640297684;0.415223858;0.70095348;0.661380636;0.750973325;0.38146745;0.602943384;2
23;1;2;1;2;2;0.822345023;0.735703908;0.840405595;0.343583853;0.634798314;0.32575905;0.749655247;0.30572513;0.23332826;0.628329944;2
89;1;2;1;1;4;0.891787317;0.363081174;0.442055025;0.548375881;0.579497901;0.662373581;0.746617739;0.37735696;0.778171092;0.481216087;1
44;1;2;1;2;4;0.641981821;0.488362012;0.111051797;0.949396804;0.133474631;0.305136409;0.74173072;0.11172465;0.593096368;0.80980956;3
41;1;2;3;3;1;0.533896542;0.360784423;0.176124986;0.768321986;0.600390099;0.570111;0.491537152;0.784883233;0.094528306;0.767377462;1
80;1;5;1;2;1;0.374025919;0.220167235;0.406048219;0.598805777;0.150031646;0.368125005;0.474640158;0.40731215;0.379291726;0.622005476;2
91;0;2;3;1;3;0.427534439;0.431048825;0.678732666;0.454564612;0.728770155;0.542482801;0.515787885;0.89331744;0.686375287;0.522697678;3
42;1;1;3;2;3;0.375735689;0.401566009;0.675395995;0.783200548;0.802988259;0.45644892;0.43862056;0.380448201;0.7550662;0.503612669;1
67;1;5;1;1;2;0.876507977;0.643705663;0.285620486;0.509308607;0.699420954;0.222097371;0.814238103;0.649098223;0.376485258;0.686401309;2
81;1;1;1;2;1;0.430862851;0.920479631;0.433646108;0.68131816;0.749064732;0.317348008;0.502296274;0.803249883;0.503432045;0.40023474;2
50;1;1;3;2;4;0.396137969;0.989920193;0.538770384;0.353155561;0.378250854;0.59713975;0.433012383;0.080057919;0.536286619;0.659078126;1
69;0;2;1;2;4;0.750383402;0.516191547;0.278173529;0.424371422;0.500107422;0.502568069;0.624679776;0.466831344;0.364446243;0.800195171;3
55;1;2;1;3;3;0.61589363;0.154007456;0.635855153;0.335015598;0.540307016;0.771105658;0.651542012;0.750076718;0.256123521;0.730623878;1
88;1;2;1;1;6;0.776648758;0.928482746;0.227205277;0.397284721;0.411631997;0.572113608;0.647529355;0.311159567;0.162703269;0.406817641;1
76;1;2;1;3;1;0.393138248;0.606642936;0.836191528;0.316861648;0.197501859;0.697256648;0.740211782;0.659998059;0.601269594;0.365660054;3
24;1;2;1;2;1;0.513301753;0.578890675;0.637673838;0.357248044;0.527730895;0.929202677;0.799905365;0.567395946;0.667276507;0.824608533;3
49;1;2;1;1;5;0.812404603;0.875851774;0.52063257;0.733535998;0.833355583;0.501061218;0.387242897;0.467207236;0.19482666;0.749820376;1
72;0;1;1;1;2;0.545336531;0.376675459;0.117012041;0.403352606;0.605001203;0.355683216;0.432773074;0.431111496;0.337839194;0.686109493;2
63;0;2;1;3;3;0.74942926;0.582045114;0.300007243;0.77486139;0.400146305;0.896704;0.653408793;0.142556298;0.550608372;0.728236987;3
23;1;3;1;1;1;0.60039536;0.670520375;0.900874136;0.675503019;0.578685338;0.271853667;0.662111829;0.239901594;0.531348553;0.207060586;1
80;0;5;1;1;2;0.311908023;0.301223639;0;0.510200047;0.761858809;0.165569439;0.772161063;0.434013314;0.220158013;0.152106562;2
71;1;2;1;2;2;0.900509374;0.578499508;0.29808757;0.400022859;0.972301873;0.301069683;0.667381114;0.515196531;0.041001488;0.574470188;3
22;0;2;1;3;1;0.747683225;0.628087915;0.457565363;0.401634057;0.47644959;0.818854812;0.679030752;0.640161842;0.352860644;0.948636507;1
64;1;2;1;1;1;0.20921994;0.211579879;0.358444728;0.371182667;0.567640973;0.500870405;0.37939821;0.465908047;0.508095667;0.089080746;3
88;0;2;1;1;6;0.835710274;0.637811328;0.354461534;0.71680417;0.65637561;0.289407123;0.659135102;0.671842115;0.956005311;0.54507506;2
59;0;2;2;2;1;0.543772824;0.15830167;0.312233531;0.472104002;0.512666241;0.645208166;0.47618856;0.697322868;0.851295519;0.68315129;3
41;1;2;1;2;1;0.43902665;0.600191764;0.328091301;0.600891648;0.832191015;0.431091982;0.595123513;0.416719808;0.385723659;0.580314257;3
33;0;5;1;2;1;0.891902679;0.900711;0.272638141;0.531787583;0.770760469;0.428986483;0.716776274;0.072117924;0.515977309;0.313055155;3
95;1;2;2;1;2;0.641621006;0.413017283;0.024125109;0.491946175;0.531881986;0.465253913;0.418136425;0.300008468;0.23218268;0.282096631;1
62;1;2;1;2;4;0.667418661;0.605029747;0.832033699;0.800658549;0.378258637;0.699235688;0.667527373;0.696734026;0.583689816;0.891437992;3
73;0;2;1;3;1;0.60029345;0.674892621;0.703350267;0.536046774;0.78005474;0.350798614;0.709491364;0.820275335;0.434206353;0.521862899;3
19;0;2;1;2;3;0.452078876;0.434602947;0.428462043;0.502136884;0.589991626;0.463719172;0.62665148;0.334993279;0.662733047;0.867148285;1
41;1;2;1;2;4;0.699797284;0.393257484;0.02691673;0.595071187;0.291038168;0.374657782;0.658446942;0.257219355;0.184040561;0.471853901;2
54;1;1;3;3;1;0.494062614;0.76018275;0.461601993;0.890390679;0.7707139;0.953289117;0.79201198;0.60014375;0.895708251;0.77560439;1
78;1;1;1;2;5;0.738267345;0.544328699;0.805342687;0.399839928;0.727768637;0.217497163;0.784522382;0.120129048;0.274194225;0.520689267;2
57;1;1;1;3;1;0.278616495;0.225551658;0.651865295;0.404354901;0.668209118;0.245805276;0.773552318;0.276967801;0.02912037;0.562434987;1
67;1;2;1;2;3;0.651356894;0.526894023;0.550038131;0.435944037;0.641386562;0.253822517;0.38894528;0.277571773;0.763165074;0.506813505;3
76;1;1;1;2;1;0.594661288;0.851155718;0.107650024;0.254220501;0.901265037;0.401954799;0.812347422;0.224039273;0.57503928;0.891401714;1
35;1;2;1;2;4;0.800993104;0.120494136;0.348325821;0.357619199;0.438281434;0.799405592;0.609865263;0.538166347;0.91011119;0.469985321;2
40;1;2;1;2;3;0.44327032;0.599117788;0.473067223;0.278861265;0.692079701;0.044541685;0.776271632;0.840592946;0.56097004;0.50111634;3
63;1;2;1;1;4;0.741824299;0.40011649;0.350503124;0.787797471;0.665114627;0.448319438;0.69589361;0.624935686;0.305777606;0.63288024;3
81;1;5;1;1;1;0.941137343;0.715653644;0.909831722;0.838055324;0.792853166;0.185398052;0.534239799;0.15027974;0.098125707;0.349894514;2
19;1;2;2;2;1;0.770997482;0.971414358;0.439511503;0.675723776;0.771306959;0.866221126;0.54608339;0.531670222;0.724195514;0.686626224;1
39;0;2;2;1;1;0.453514721;0.108571851;0.625438296;0.84980168;0.457659606;0.461603978;0.39796573;0.070660707;0.522748395;0.335944056;1
71;0;5;1;2;1;0.770309871;0.924119848;0.367871542;0.731342731;0.874301214;0.571520744;0.362569819;0.067871931;0.388724383;0.413499513;2
43;1;2;1;1;2;0.667648112;0.71495782;0.361321336;0.731768821;0.428652377;0.620210138;0.857394314;0.070834954;0.223535476;0.290584172;3
46;1;1;1;2;2;0.68008968;0.221671534;0.680550473;0.450253431;0.783442953;0.700083451;0.674673373;0.428477421;0.25048942;0.401303058;1
68;1;1;2;1;3;0.53831816;0.331612144;0.414495913;0.600190143;0.734024681;0.40004322;0.772005423;0.619728694;0.84660721;0.760049655;1
75;1;5;2;2;2;0.710727838;0.374016049;0;0.61039945;0.64138402;0.135916146;0.47778646;0.337479422;0.46365477;0.270053998;1
60;0;2;1;3;3;0.501510506;0.179256433;0.36833734;0.666907485;0.476426196;0.38603087;0.783863611;0.707548212;0.734354278;0.522000731;2
56;1;2;1;3;2;0.412913674;0.504376685;0.422519025;0.382951509;0.621449518;0.67760415;0.696864929;0.557726688;0.505777867;0.522263357;3
89;1;2;1;1;2;0.77657899;0.496074589;0.544700608;0.576961879;0.358158654;0.805324084;0.775726747;0.42620108;0.46518896;0.788908105;1
